Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Sale Amount Outlier
190266,2019,04/21/2020,Trumbull,36 MACDONALD RD,240380.0,205000.0,1.172585366,Single Family,Single Family,25 - Other,UNKNOWN,NO MLS - PURCHASE TO FLIP - SEE RESALE #200007,POINT (-73.1686 41.26347),False
190574,2019,01/15/2020,Bridgeport,119 ASHTON ST,105310.0,215000.0,0.4898,Single Family,Single Family,07 - Change in Property,OUT OF SEQUENCE,PER MLS HAS 2.5 BATHS AND FINISHED BASEMENT,POINT (-73.22555 41.20769),False
190128,2019,11/12/2019,Norwalk,15 MADISON ST UNIT A9,84120.0,70000.0,1.201714286,Condo,Condo,22 - Money and Personal Property,2-46-1-A9,CONDO SOLD WITH ALL CONTENTS PER MLS,POINT (-73.42111 41.09812),False
1900137,2019,03/27/2020,Ansonia,260 N STATE ST,93500.0,90000.0,1.0389,Two Family,Two Family,14 - Foreclosure,LOW SALE SPECIAL WARRANTY,PURCHASE OF A FORECLOSED PROPERTY,POINT (-73.08004 41.3539),False
19202,2019,06/16/2020,Plainfield,85 COLONIAL RD,49570.0,71000.0,0.698169014,Single Family,Single Family,14 - Foreclosure,HOUSE ONLY NO LAND,BANK SALE PER MLS,POINT (-71.90329 41.67297),False
190040,2019,10/15/2019,Bristol,128 MARTIN RD,115080.0,255000.0,0.4513,Single Family,Single Family,07 - Change in Property,MOTIVATED SELLER,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #180663,POINT (-72.97475 41.67855),False
190155,2019,02/24/2020,Bethel,13 MECKAUER CIRCLE,214480.0,230000.0,0.9325,Single Family,Single Family,25 - Other,Shared Appreciation Mortgage,SHORT SALE PER MLS,POINT (-73.40142 41.39845),False
190059,2019,11/07/2019,Trumbull,5108 MAIN ST,169890.0,362000.0,0.469309392,Single Family,Single Family,25 - Other,UNKNOWN,NO MLS,POINT (-73.22026 41.23115),False
190341,2019,06/18/2020,Trumbull,99 UNITY RD,194670.0,220000.0,0.884863636,Single Family,Single Family,25 - Other,UNKNOWN  REASON,2ND SALE SAME DAY,POINT (-73.16295 41.2413),False
190748,2019,05/28/2020,Danbury,36 DARTMOUTH LA,169200.0,320000.0,0.5288,Single Family,Single Family,07 - Change in Property,H17020,RENOVATED - SEE PREVIOUS SALE #190409,POINT (-73.46484 41.37572),False
190138,2019,07/15/2020,Prospect,26 GREENWOOD DR,115740.0,89000.0,1.300449438,Single Family,Single Family,25 - Other,SALES RATIO TOO LOW,PER MLS CASH ONLY. ESTATE SALE IN NEED OF MAJOR REHAB,POINT (-72.9949 41.52614),False
19023,2019,10/18/2019,Montville,16 LAUREL DR,104650.0,102000.0,1.025980392,Single Family,Single Family,25 - Other,SALES RATIO,PER MLS SOLD AS IS - NEEDS COMPLETE RENOVATION - MOLD,POINT (-72.20071 41.44768),False
190511,2019,03/04/2020,Danbury,1 E HAYESTOWN RD #155,167700.0,189000.0,0.8873,Condo,Condo,14 - Foreclosure,I10051-155,PURCHASE OF A FORECLOSED PROPERTY,POINT (-73.44901 41.4171),False
190340,2019,06/18/2020,Trumbull,99 UNITY RD,194670.0,190000.0,1.024578947,Single Family,Single Family,25 - Other,UNKNOWN  REASON,ESTATE SALE - NO MLS,POINT (-73.16295 41.2413),False
19118,2019,09/28/2020,Salisbury,23 WALTON STREET,151600.0,520000.0,0.291538462,Single Family,Single Family,07 - Change in Property,RESALE,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #19062,POINT (-73.437 41.96673),False
190349,2019,08/17/2020,New London,91 WEST ST,73640.0,68000.0,1.082941176,Single Family,Single Family,25 - Other,RATIO,NEEDS RENOVATION PER MLS - SOLD AS IS - CASH SALE PREFERRED,POINT (-72.1084 41.36121),False
190101,2019,06/17/2020,Westbrook,181 HAMMOCK RD N,69790.0,35000.0,1.994,Single Family,Single Family,25 - Other,"RANCH, LOC/RR/S&S",PER MLS LOOKING FOR CASH OFFER AS HOUSE NEEDS LOTS OF MAINTENANCE,POINT (-72.46828 41.2832),False
19033,2019,10/28/2019,Watertown,129 CAYUGA DR,68200.0,157000.0,0.4344,Single Family,Single Family,25 - Other,SALE PRICE INCLUDES LOT #12CAB ON CAYUGA DR,INCLUDES #19034,POINT (-73.13627 41.5838),False
190836,2019,06/08/2020,Norwalk,15 CANNON ST,398690.0,465000.0,0.857397849,Single Family,Single Family,25 - Other,OP CODE #22-GROSS PURCH PRICE INSUFF. TO PAY MTG & TAXES,SHORT SALE PER MLS,POINT (-73.40877 41.1261),False
190342,2019,01/06/2020,Norwalk,27 MARLIN DR,263830.0,205000.0,1.28697561,Single Family,Single Family,25 - Other,5-58-401-0,PER MLS SOLD AS IS WITH FOUNDATION ISSUES,POINT (-73.43547 41.11261),False
